rollout_id,pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,commanded_h10_raw_mse,executed_h10_raw_mse,no_action_h10_raw_mse,persistence_h10_raw_mse
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,70,80,0.6577789783477783,0.681006908416748,0.7234348058700562,0.9729841947555542
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,71,81,0.827513575553894,0.8253425359725952,0.8313748836517334,0.9510895609855652
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,72,82,0.7020436525344849,0.7072358131408691,0.6909151077270508,0.9518500566482544
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,73,83,0.7409052848815918,0.7649240493774414,0.7381428480148315,0.9294008016586304
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,74,84,0.7203191518783569,0.7167097926139832,0.6684285402297974,0.7239583730697632
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,75,85,0.773579478263855,0.7657892107963562,0.6570701003074646,0.7086753845214844
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,76,86,0.6798250079154968,0.6818063259124756,0.6830159425735474,0.7924051284790039
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,77,87,0.6327567100524902,0.6459590196609497,0.6346697211265564,0.7365291118621826
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,78,88,0.7137641310691833,0.7278714179992676,0.6960564851760864,0.8268660306930542
task07-init09-action_delay_3,task07-init09,action_delay_3,7,9,post,79,89,0.6562642455101013,0.6557810306549072,0.6355051398277283,0.7321469187736511
task08-init11-nominal,task08-init11,nominal,8,11,pre,10,20,0.66966313123703,0.66966313123703,0.6949629783630371,1.2241301536560059
task08-init11-nominal,task08-init11,nominal,8,11,pre,11,21,0.6923836469650269,0.6923836469650269,0.7090119123458862,1.1091049909591675
task08-init11-nominal,task08-init11,nominal,8,11,pre,12,22,0.5855908393859863,0.5855908393859863,0.5890562534332275,1.0962049961090088
task08-init11-nominal,task08-init11,nominal,8,11,pre,13,23,0.6472357511520386,0.6472357511520386,0.6390308737754822,1.0876519680023193
task08-init11-nominal,task08-init11,nominal,8,11,pre,14,24,0.6784650683403015,0.6784650683403015,0.6601699590682983,1.0324389934539795
task08-init11-nominal,task08-init11,nominal,8,11,pre,15,25,0.6312736868858337,0.6312736868858337,0.6603423953056335,1.1638963222503662
task08-init11-nominal,task08-init11,nominal,8,11,pre,16,26,0.7017337679862976,0.7017337679862976,0.7295076251029968,1.085233211517334
task08-init11-nominal,task08-init11,nominal,8,11,pre,17,27,0.6942659616470337,0.6942659616470337,0.7557961344718933,1.0993527173995972
task08-init11-nominal,task08-init11,nominal,8,11,pre,18,28,0.6988333463668823,0.6988333463668823,0.749447226524353,1.2561676502227783
task08-init11-nominal,task08-init11,nominal,8,11,pre,19,29,0.692839503288269,0.692839503288269,0.7512483596801758,1.0802539587020874
task08-init11-nominal,task08-init11,nominal,8,11,pre,20,30,0.6489171385765076,0.6489171385765076,0.7327483892440796,1.033380389213562
task08-init11-nominal,task08-init11,nominal,8,11,pre,21,31,0.6582568883895874,0.6582568883895874,0.7511901259422302,1.1055059432983398
task08-init11-nominal,task08-init11,nominal,8,11,pre,22,32,0.7216523885726929,0.7216523885726929,0.7681254148483276,0.9681040048599243
