episode_id,source,policy,task_id,task_name,init_state_index,environment_seed,policy_rng_seed,policy_rng_batch_size,action_horizon,maximum_control_steps,success,control_steps,censored,logical_vlm_forward_count,actual_vlm_forward_count,inference_latency_mean_seconds,inference_latency_p50_seconds,inference_latency_p95_seconds,episode_wall_seconds,peak_inference_gpu_memory_bytes,initial_observation_sha256,action_sha256,video,video_sha256,trajectory,trajectory_sha256,protocol_sha256
formal-expert_only-h10-task07-init00-legacy-batch3,legacy_reused,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,1000,1007,3,10,280,True,112,False,12,,,,,,,,fceeacce66a116eced43f118f5b3860691d292595f1840b7e3c63ac341503e25,external_asset_root/stage9_task5_finetune_eval/videos/task_07/episode_00.mp4,ed1367d00e5edf84277a6232f26e5161f1b6854c3ab72c6eee0c8a4530d071a4,external_asset_root/stage9_task5_finetune_eval/trajectories/task_07.npz,a3a969e4f267944b54793bba9706791d805a413dc720a7bac734f8c16c7fac2f,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init01-legacy-batch3,legacy_reused,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,1001,1007,3,10,280,True,114,False,12,,,,,,,,3ba42cb69128cab6d7f20253b7908aaf1257258ae320e18ea0511fef125adf0d,external_asset_root/stage9_task5_finetune_eval/videos/task_07/episode_01.mp4,7fbb8aaaf74a0ac3e10cc7426c9e3568fb52d7c67bfcb29a1ffc7b8e97a80f20,external_asset_root/stage9_task5_finetune_eval/trajectories/task_07.npz,a3a969e4f267944b54793bba9706791d805a413dc720a7bac734f8c16c7fac2f,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init02-legacy-batch3,legacy_reused,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,1002,1007,3,10,280,False,280,True,28,,,,,,,,d2e7fd3b4f09cf8bee21111513e5408db9512ba8c54674b627bc0a59d2caca65,external_asset_root/stage9_task5_finetune_eval/videos/task_07/episode_02.mp4,305badcdca2c55c85e7919bd862a14a420376d23ea9f8c3a09af26f1c111c8d1,external_asset_root/stage9_task5_finetune_eval/trajectories/task_07.npz,a3a969e4f267944b54793bba9706791d805a413dc720a7bac734f8c16c7fac2f,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init03-env1003-policy1003,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,1003,1003,1,10,280,True,105,False,11,11,0.3220217136364557,0.279827510999894,0.47378374799973244,27.667376677999528,972986368,46225160c4093fc835b91ae075585c5f6f7def19f4bfdbf4fa936a2893752ba4,4952b906a92a8bf5ba2f8a524acf806dfa922c88556332e104543919b87c0ff0,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init03-env1003-policy1003.mp4,8a85fd9a41cc62d368f4456d4d501c57d50692828e1bcfeaa2744d14e109c56e,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init03-env1003-policy1003.npz,511ea9dbec3a4b3f522af04e81b93fb1441ac06637191aeca18d227e6613dcfc,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init04-env1004-policy1004,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,4,1004,1004,1,10,280,True,120,False,12,12,0.338018691916659,0.33487072400021134,0.4592888383495846,31.2156781650001,972986368,07db9281eb956a06b36f2c76f6a2c45e7f982caff4519df764b9feb3d76d619f,b27dec489eb5df1172d67aeb62b4aaed5d79f1211e59c8551779781f48ac061b,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init04-env1004-policy1004.mp4,dcd991e26e1a9228fd611c82acad36275a1432435871e0832a03de71dc78fb03,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init04-env1004-policy1004.npz,83d2dff629c5b20cc5b829fc4487d29d3b879c8e5283ec282295a3083014911e,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init05-env1005-policy1005,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,1005,1005,1,10,280,True,113,False,12,12,0.3358851630834276,0.35187057050052317,0.4112503085996195,30.583491540000068,972986368,96710f4869095beff787fcb8690b9ad25c7f913dd8a20b04ce04de555d0fc932,bb92cd037f683409480f442161e30187f8a4f4aeb9e516028ab09bde3f76a0d3,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init05-env1005-policy1005.mp4,fc2ef45f87200447e9ad3bdfd95f4f5f4ff47b3eb3e62e49746e3c493e941055,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init05-env1005-policy1005.npz,18363fca1eb0a322346ac386cd3f95d99001c15ed1f0e4997b22dce65381bcd7,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init06-env1006-policy1006,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,6,1006,1006,1,10,280,True,108,False,11,11,0.3278068311818226,0.2862886860002618,0.4923116454997398,28.925831568999456,972986368,b49c9a6abda83f81f865745166bffdc278c8400f77d30b9a0456a03d8fb27f2f,3e1b7ef2467b02a72a4958d86b8b974bc0210841205fb352864cda3bd86c3ed6,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init06-env1006-policy1006.mp4,c65671da6dffaeb8c73f0419e5fddeb57cf009063cec423ceac05cd9c7ca46c0,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init06-env1006-policy1006.npz,a90799928cae560718426ad5fadb04bae5745f77223327bc6bead27dbf958e84,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init07-env1007-policy1007,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,1007,1007,1,10,280,True,115,False,12,12,0.3557032930834036,0.36132939549952425,0.46696727360013024,31.02792158200009,972986368,f7dadced3c45a0df968fd87225a0a91b82e78b42614d9be45a161548149d30c8,7178bd79cc4a066debb0ec838b92cfe80af7f40b8315a946a412d2f7a2c14a9c,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init07-env1007-policy1007.mp4,16718590023a7f9c58377babfd458e644ada58b8b005d385eae01aff33fef2d0,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init07-env1007-policy1007.npz,f8d7a0a582f7afcf14c8c9e3670875f9e5b018a020b0e001b21002263fa019e1,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init08-env1008-policy1008,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,8,1008,1008,1,10,280,False,280,True,28,28,0.323484660785685,0.29808809950009163,0.4081537248498534,54.92411999200067,972986368,781a18b9d1d0fa00b4afd878f2fff718b5b4d1561e3d2981e56cc4900e0688e9,704f55cd475fb29c668ce012ae9ae26e2e6cdae7f8c0fb300194c1827e908649,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init08-env1008-policy1008.mp4,814669b7d37c760b5265ba87e532a8c6a907d69b950d3f82e1f6843eb1a2fa15,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init08-env1008-policy1008.npz,f16d4f2ef120f95f53161246cf07beb8350f5f6e51223861d2fae7cc14827b90,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task07-init09-env1009-policy1009,new_formal,expert_only,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,9,1009,1009,1,10,280,True,117,False,12,12,0.32322885158320486,0.2853618680001091,0.4354828514498877,30.494696933999876,972986368,9c094c1e205ca18b5de45751a2bf32688e60464f08668ff6e07ce5ed18b1641d,8734ced4ba0eac22e3ff183f79926183caf5a258610b3a9a129033b1d7868d77,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task07-init09-env1009-policy1009.mp4,3336a62e76ed5c0aeace1369d4d170b507c318287c22b54c5e7c1a2a2cbea8bc,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task07-init09-env1009-policy1009.npz,d19f4c1580dfb15692893084064c9a41fe5a9f3ec14908cb5e75ebd104a7cf56,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
