experiment,comparison,first,second,task_id,init_state_index,environment_seed,first_policy_rng_seed,second_policy_rng_seed,policy_rng_batch_size,first_success,second_success,cell,first_steps,second_steps,step_difference_second_minus_first,first_logical_vlm_forwards,second_logical_vlm_forwards,logical_vlm_forward_difference_second_minus_first,actual_vlm_forward_difference_second_minus_first,episode_wall_difference_second_minus_first
B_action_horizon,h25_vs_h10,h25,h10,4,0,1000,1004,1004,3,True,True,both_success,128,127,-1,6,13,7,,
B_action_horizon,h25_vs_h10,h25,h10,4,1,1001,1004,1004,3,False,False,both_fail,280,280,0,12,28,16,,
B_action_horizon,h25_vs_h10,h25,h10,4,2,1002,1004,1004,3,True,True,both_success,132,129,-3,6,13,7,,
B_action_horizon,h25_vs_h10,h25,h10,4,3,1003,1003,1003,1,False,False,both_fail,280,280,0,12,28,16,16,-3.6003127459998723
B_action_horizon,h25_vs_h10,h25,h10,4,4,1004,1004,1004,1,False,True,second_only_success,280,128,-152,12,13,1,1,-23.736952883999948
B_action_horizon,h25_vs_h10,h25,h10,4,5,1005,1005,1005,1,True,True,both_success,131,122,-9,6,13,7,7,-3.0584673739995196
B_action_horizon,h25_vs_h10,h25,h10,4,6,1006,1006,1006,1,False,True,second_only_success,280,237,-43,12,24,12,12,1.0444657559992265
B_action_horizon,h25_vs_h10,h25,h10,4,7,1007,1007,1007,1,True,True,both_success,132,129,-3,6,13,7,7,1.4321999340008915
B_action_horizon,h25_vs_h10,h25,h10,4,8,1008,1008,1008,1,True,False,first_only_success,126,280,154,6,28,22,22,33.60774165999919
B_action_horizon,h25_vs_h10,h25,h10,4,9,1009,1009,1009,1,True,False,first_only_success,139,280,141,6,28,22,22,25.02929689100074
B_action_horizon,h25_vs_h10,h25,h10,5,0,1000,1005,1005,3,False,False,both_fail,280,280,0,12,28,16,,
B_action_horizon,h25_vs_h10,h25,h10,5,1,1001,1005,1005,3,False,False,both_fail,280,280,0,12,28,16,,
B_action_horizon,h25_vs_h10,h25,h10,5,2,1002,1005,1005,3,False,False,both_fail,280,280,0,12,28,16,,
B_action_horizon,h25_vs_h10,h25,h10,5,3,1003,1003,1003,1,False,False,both_fail,280,280,0,12,28,16,16,4.073811072999888
B_action_horizon,h25_vs_h10,h25,h10,5,4,1004,1004,1004,1,False,False,both_fail,280,280,0,12,28,16,16,3.6071233550001125
B_action_horizon,h25_vs_h10,h25,h10,5,5,1005,1005,1005,1,False,False,both_fail,280,280,0,12,28,16,16,-1.069483950999711
B_action_horizon,h25_vs_h10,h25,h10,5,6,1006,1006,1006,1,False,False,both_fail,280,280,0,12,28,16,16,1.7185301949994027
B_action_horizon,h25_vs_h10,h25,h10,5,7,1007,1007,1007,1,False,False,both_fail,280,280,0,12,28,16,16,2.8747194259995013
B_action_horizon,h25_vs_h10,h25,h10,5,8,1008,1008,1008,1,False,False,both_fail,280,280,0,12,28,16,16,-0.39524790499945084
B_action_horizon,h25_vs_h10,h25,h10,5,9,1009,1009,1009,1,False,False,both_fail,280,280,0,12,28,16,16,3.2507432379998136
B_action_horizon,h25_vs_h10,h25,h10,7,0,1000,1007,1007,3,True,True,both_success,113,115,2,5,12,7,,
