pair_id,condition,benchmark_task_id,init_state_index,metric,pre_mean,pre_sample_std,scale_floor,denominator
task04-init13,nominal,4,13,eef_path_length,0.092100307105049,0.019531423123689596,9.2100307105049e-08,0.019531423123689596
task04-init13,nominal,4,13,pixel_endpoint_mae,24.733561115880168,5.226309214124151,2.4733561115880165e-05,5.226309214124151
task04-init13,arm_actuator_gain_0p5,4,13,wm_relative_residual,0.005249646402174427,0.03330341448306332,1e-08,0.03330341448306332
task04-init13,arm_actuator_gain_0p5,4,13,wm_action_residual,0.776000234388536,0.09345519814310824,7.76000234388536e-07,0.09345519814310824
task04-init13,arm_actuator_gain_0p5,4,13,no_action_residual,0.7707505879863616,0.07820778030760155,7.707505879863616e-07,0.07820778030760155
task04-init13,arm_actuator_gain_0p5,4,13,latent_persistence_motion,1.159722883855143,0.19148330623856671,1.1597228838551429e-06,0.19148330623856671
task04-init13,arm_actuator_gain_0p5,4,13,eef_path_length,0.092100307105049,0.019531423123689596,9.2100307105049e-08,0.019531423123689596
task04-init13,arm_actuator_gain_0p5,4,13,pixel_endpoint_mae,24.733561115880168,5.226309214124151,2.4733561115880165e-05,5.226309214124151
task07-init10,nominal,7,10,wm_relative_residual,-0.06961540637477752,0.05421366228018929,6.961540637477752e-08,0.05421366228018929
task07-init10,nominal,7,10,wm_action_residual,0.7994813419157459,0.1004398676794058,7.994813419157459e-07,0.1004398676794058
task07-init10,nominal,7,10,no_action_residual,0.8690967482905234,0.1216749804062506,8.690967482905233e-07,0.1216749804062506
task07-init10,nominal,7,10,latent_persistence_motion,0.8376759242626929,0.25731275033031104,8.376759242626928e-07,0.25731275033031104
task07-init10,nominal,7,10,eef_path_length,0.07536284307078008,0.03352089516251651,7.536284307078007e-08,0.03352089516251651
task07-init10,nominal,7,10,pixel_endpoint_mae,10.944021640285369,2.2599167984434465,1.0944021640285369e-05,2.2599167984434465
