pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,wm_relative_residual_raw,wm_action_residual_raw,no_action_residual_raw,latent_persistence_motion_raw,eef_path_length_raw,pixel_endpoint_mae_raw,wm_relative_residual_anomaly,wm_action_residual_anomaly,no_action_residual_anomaly,latent_persistence_motion_anomaly,eef_path_length_anomaly,pixel_endpoint_mae_anomaly
task04-init03,nominal,4,3,fault_influenced,46,56,-0.015382528305053711,0.679865837097168,0.6952483654022217,0.41814589500427246,0.017874130979180336,16.011165618896484,0.3233997304078507,1.7292076504135363,1.558480209605437,1.9082071733169683,2.722155379480752,1.34022479661567
task04-init03,nominal,4,3,fault_influenced,47,57,-0.01581496000289917,0.700605571269989,0.7164205312728882,0.4449981153011322,0.01718338020145893,16.073347091674805,0.3353987954106012,1.4193023711787491,1.2414159959777307,1.8170385741146475,2.7494774696943622,1.3236328843609504
task04-init03,nominal,4,3,fault_influenced,48,58,-0.034846603870391846,0.7564212679862976,0.7912678718566895,0.4902069568634033,0.016860419884324074,16.207918167114258,0.863486659952053,0.585271475101986,0.12053807874927448,1.66354561482763,2.7622519047073526,1.2877252196506817
task04-init03,nominal,4,3,fault_influenced,49,59,-0.04799842834472656,0.7356523275375366,0.7836507558822632,0.4632951021194458,0.017289407551288605,16.541175842285156,1.2284219724154444,0.8956131716517277,0.23460835862973708,1.7549166847733755,2.7452836433381873,1.1988019140808726
task04-init03,nominal,4,3,fault_influenced,50,60,-0.03639960289001465,0.6494495868682861,0.6858491897583008,0.45488911867141724,0.018747316673398018,16.886735916137695,0.9065790980839159,2.1837051112734516,1.6992377614068512,1.7834566612595764,2.687617223201945,1.1065959535605117
task04-init03,arm_actuator_gain_0p5,4,3,pre,10,20,-0.014399528503417969,0.644192636013031,0.658592164516449,1.2416081428527832,0.11744198948144913,21.622495651245117,0.29612356500118475,2.2622575560225444,2.1074259140470057,0.8876100366707887,1.2161710040939806,0.1570490917162415
task04-init03,arm_actuator_gain_0p5,4,3,pre,11,21,0.01705068349838257,0.7466326951980591,0.7295820116996765,1.2026079893112183,0.11763353645801544,22.376955032348633,0.5765532994380019,0.7315380741804096,1.044315970066932,0.755196801275289,1.2237474903502146,0.3583618508341611
task04-init03,arm_actuator_gain_0p5,4,3,pre,12,22,0.006458699703216553,0.6460608243942261,0.6396021246910095,1.1058311462402344,0.1177268847823143,22.741716384887695,0.2826481516435461,2.2343419888743328,2.3918116533611786,0.4266202768589359,1.2274398080718045,0.455691297771143
task04-init03,arm_actuator_gain_0p5,4,3,pre,13,23,0.013918697834014893,0.766347348690033,0.7524286508560181,1.0773227214813232,0.11749592423439026,23.06329345703125,0.48964732154213314,0.43695015205294924,0.7021756466634783,0.32982853591531497,1.2183043497709374,0.5414978624235599
task04-init03,arm_actuator_gain_0p5,4,3,pre,14,24,-0.0003952980041503906,0.7881354093551636,0.788530707359314,1.1089571714401245,0.11673363298177719,23.263538360595703,0.09246421177707002,0.11138016315403475,0.16152854303297015,0.437233750731652,1.1881525337402061,0.5949293062435034
