rollout_id,condition,start_index,target_index,commanded_h10_raw_mse_abs_error,executed_h10_raw_mse_abs_error,no_action_h10_raw_mse_abs_error,persistence_h10_raw_mse_abs_error
task04-init07-action_delay_3,action_delay_3,33,43,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0
task04-init07-action_delay_3,action_delay_3,34,44,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,35,45,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,36,46,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,37,47,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,38,48,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,39,49,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,50,60,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0
task04-init07-action_delay_3,action_delay_3,51,61,5.960464477539063e-08,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,52,62,0.0,0.0,1.1920928955078125e-07,0.0
task04-init07-action_delay_3,action_delay_3,53,63,0.0,1.1920928955078125e-07,0.0,0.0
task04-init07-action_delay_3,action_delay_3,54,64,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,55,65,1.1920928955078125e-07,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,56,66,0.0,5.960464477539063e-08,5.960464477539063e-08,0.0
task04-init07-action_delay_3,action_delay_3,57,67,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0
task04-init07-action_delay_3,action_delay_3,58,68,1.1920928955078125e-07,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,59,69,0.0,1.1920928955078125e-07,1.1920928955078125e-07,0.0
task04-init07-action_delay_3,action_delay_3,60,70,0.0,0.0,5.960464477539063e-08,0.0
task04-init07-action_delay_3,action_delay_3,61,71,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0
task04-init07-action_delay_3,action_delay_3,62,72,0.0,0.0,5.960464477539063e-08,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,63,73,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0
task04-init07-action_delay_3,action_delay_3,64,74,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,65,75,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,66,76,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,67,77,1.1920928955078125e-07,5.960464477539063e-08,0.0,0.0
task04-init07-action_delay_3,action_delay_3,68,78,0.0,5.960464477539063e-08,1.7881393432617188e-07,0.0
task04-init07-action_delay_3,action_delay_3,69,79,0.0,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08
task04-init07-action_delay_3,action_delay_3,70,80,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,71,81,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,72,82,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,73,83,1.1920928955078125e-07,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,74,84,5.960464477539063e-08,0.0,5.960464477539063e-08,2.384185791015625e-07
task04-init07-action_delay_3,action_delay_3,75,85,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,76,86,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,77,87,5.960464477539063e-08,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,78,88,5.960464477539063e-08,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,79,89,0.0,5.960464477539063e-08,1.1920928955078125e-07,0.0
task04-init12-nominal,nominal,10,20,0.0,0.0,0.0,0.0
task04-init12-nominal,nominal,11,21,0.0,0.0,0.0,0.0
task04-init12-nominal,nominal,12,22,0.0,0.0,1.7881393432617188e-07,1.1920928955078125e-07
task04-init12-nominal,nominal,13,23,0.0,0.0,5.960464477539063e-08,0.0
task04-init12-nominal,nominal,14,24,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07
task04-init12-nominal,nominal,15,25,0.0,0.0,2.980232238769531e-07,0.0
task04-init12-nominal,nominal,16,26,5.960464477539063e-08,5.960464477539063e-08,0.0,1.1920928955078125e-07
task04-init12-nominal,nominal,17,27,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
