condition,task_id,init_state_index,intervention_start,intervention_active_at_available_step,start_index,target_index,available_after_step,horizon,commanded_h10_raw_mse,executed_h10_raw_mse,commanded_minus_executed,no_action_h10_raw_mse,persistence_h10_raw_mse,scoring_seconds
nominal,4,7,,False,22,32,31,10,0.9073295593261719,0.9073295593261719,0.0,0.9863376617431641,1.4442100524902344,0.013511498000298161
nominal,4,7,,False,23,33,32,10,0.9292089939117432,0.9292089939117432,0.0,1.0636520385742188,1.5571588277816772,0.013005403001443483
nominal,4,7,,False,24,34,33,10,0.9440571665763855,0.9440571665763855,0.0,1.063852071762085,1.4748425483703613,0.013660787999469903
nominal,4,7,,False,25,35,34,10,0.8262858390808105,0.8262858390808105,0.0,0.9277076721191406,1.3265193700790405,0.013147235000360524
nominal,4,7,,False,26,36,35,10,0.7753480672836304,0.7753480672836304,0.0,0.8157485723495483,1.1462424993515015,0.013359275999391684
nominal,4,7,,False,27,37,36,10,0.7742505073547363,0.7742505073547363,0.0,0.7993702292442322,0.990398108959198,0.013619068000480183
nominal,4,7,,False,28,38,37,10,0.7718560099601746,0.7718560099601746,0.0,0.7564212083816528,1.0452475547790527,0.01279515900023398
nominal,4,7,,False,29,39,38,10,0.776812732219696,0.776812732219696,0.0,0.800998330116272,0.9321269989013672,0.013634779999847524
nominal,4,7,,False,30,40,39,10,0.7729986906051636,0.7729986906051636,0.0,0.8376028537750244,1.1040537357330322,0.015745196000352735
nominal,4,7,,False,31,41,40,10,0.9775290489196777,0.9775290489196777,0.0,1.0121476650238037,1.2570863962173462,0.020757450000019162
nominal,4,7,,False,32,42,41,10,1.0275681018829346,1.0275681018829346,0.0,1.0410723686218262,1.343004584312439,0.014710171999468002
nominal,4,7,,False,33,43,42,10,1.145753264427185,1.145753264427185,0.0,1.2019599676132202,1.4480699300765991,0.013556224999774713
nominal,4,7,,False,34,44,43,10,1.0531401634216309,1.0531401634216309,0.0,1.1237993240356445,1.4271348714828491,0.013527742001315346
nominal,4,7,,False,35,45,44,10,1.01567542552948,1.01567542552948,0.0,1.0654655694961548,1.371050238609314,0.013506364999557263
nominal,4,7,,False,36,46,45,10,1.0976061820983887,1.0976061820983887,0.0,1.1324741840362549,1.4406417608261108,0.014288018001025193
nominal,4,7,,False,37,47,46,10,1.078500509262085,1.078500509262085,0.0,1.095432162284851,1.2371492385864258,0.014864443000988103
nominal,4,7,,False,38,48,47,10,1.0429364442825317,1.0429364442825317,0.0,1.0588340759277344,1.2798991203308105,0.014485198000329547
