pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,no_action_residual_raw,latent_persistence_motion_raw,eef_path_length_raw,pixel_endpoint_mae_raw,no_action_residual_anomaly,latent_persistence_motion_anomaly,eef_path_length_anomaly,pixel_endpoint_mae_anomaly
task04-init06,arm_actuator_gain_0p5,4,6,pre,34,44,0.7465621829032898,1.1852277517318726,0.06240803375840187,36.76649475097656,1.2621792691804057,0.5713979492317123,1.1542215291577824,1.2845631773557715
task04-init06,arm_actuator_gain_0p5,4,6,pre,35,45,0.7596544623374939,1.2090954780578613,0.06226860359311104,38.188358306884766,1.1543006539378478,0.44686940831185995,1.159666877556046,1.5374763315306283
task04-init06,arm_actuator_gain_0p5,4,6,pre,36,46,0.9418089389801025,1.3522413969039917,0.06295663118362427,39.05787658691406,0.34662764500294485,0.299986499497437,1.1327964372166295,1.6921413905660845
task04-init06,arm_actuator_gain_0p5,4,6,pre,37,47,0.934461772441864,1.3757290840148926,0.06437354534864426,39.217247009277344,0.28608798450418366,0.4225322068494479,1.0774598372572537,1.720489311880047
task04-init06,arm_actuator_gain_0p5,4,6,pre,38,48,1.0554462671279907,1.3520044088363647,0.06602434813976288,38.96582794189453,1.2829838893121752,0.29875002737294876,1.0129888792280752,1.6757682912959924
task04-init06,arm_actuator_gain_0p5,4,6,pre,39,49,1.0582606792449951,1.4778766632080078,0.061726488173007965,37.074928283691406,1.306174265245575,0.9554815469616229,1.1808388192831085,1.3394256128462
task04-init06,arm_actuator_gain_0p5,4,6,pre,40,50,1.0150744915008545,1.3548725843429565,0.05747343599796295,35.25459289550781,0.9503259078333779,0.3137145743121779,1.346938822111084,1.015634512941711
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,41,51,1.0670921802520752,1.3751065731048584,0.053117748349905014,33.35866165161133,1.378944641400854,0.4192842906351231,1.5170471821507876,0.678396844109107
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,42,52,1.0072836875915527,1.3100597858428955,0.048561956733465195,31.093948364257812,0.8861307352825964,0.07990627872804615,1.694970463885819,0.2755622834888154
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,43,53,1.0507380962371826,1.2108184099197388,0.042930278927087784,27.869949340820312,1.244189196716571,0.43788010669454164,1.914911734546491,0.2979046702748399
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,44,54,0.9690829515457153,1.0257959365844727,0.038534976541996,23.54892921447754,0.5713618268902946,1.403224619495279,2.086567220664722,1.0665036155571423
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,45,55,0.9625117182731628,0.8803759813308716,0.033629272133111954,19.525009155273438,0.5172157517594227,2.161945186382412,2.278156103813147,1.7822560589557896
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,46,56,0.9041780233383179,0.6562937498092651,0.028248455375432968,16.768760681152344,0.03655397982135301,3.3310818253870984,2.48830017021126,2.2725221554339012
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,47,57,0.8022152185440063,0.5947281122207642,0.022501928731799126,15.189605712890625,0.8036057679702092,3.652297131570178,2.7127267825531405,2.5534134282247427
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,48,58,0.8207736015319824,0.6136987209320068,0.016500769183039665,16.064706802368164,0.6506871973007304,3.5533190307277795,2.947097906394227,2.397755330201231
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,49,59,0.9068344831466675,0.6752365827560425,0.01583341881632805,16.581541061401367,0.05844285005303914,3.232248643058284,2.973160812099558,2.3058237365581125
task04-init06,arm_actuator_gain_0p5,4,6,fault_influenced,50,60,0.9046463966369629,0.8086838722229004,0.014816593378782272,17.00895118713379,0.040413312577603895,2.5359947971725867,3.0128722243043997,2.229798408687456
task04-init09,nominal,4,9,pre,10,20,0.7025394439697266,1.1638681888580322,0.11937268078327179,23.84103775024414,0.5155614188570439,0.01089634692787056,1.5780616644650132,0.24221745710654355
task04-init09,nominal,4,9,pre,11,21,0.7357463836669922,1.1186344623565674,0.11791180819272995,24.021282196044922,0.2959922991545885,0.16208872217868356,1.5074537350094677,0.21112328201897124
task04-init09,nominal,4,9,pre,12,22,0.7527894973754883,1.1818280220031738,0.11641295254230499,24.205656051635742,0.18330075009650185,0.07957923507448152,1.4350099813827408,0.17931673773494822
task04-init09,nominal,4,9,pre,13,23,0.7236484289169312,1.1806714534759521,0.11486662179231644,24.487600326538086,0.375985737239754,0.07515622812630472,1.3602716275954085,0.13067820904240918
task04-init09,nominal,4,9,pre,14,24,0.7535235285758972,1.1238521337509155,0.1131720244884491,24.815052032470703,0.1784472289356465,0.14213504344082023,1.27836714964046,0.07418914147776023
task04-init09,nominal,4,9,pre,15,25,0.7642827033996582,1.227552890777588,0.11134892702102661,25.488662719726562,0.10730599862912274,0.2544425549155737,1.1902519107046632,0.04201620708284885
task04-init09,nominal,4,9,pre,16,26,0.7665740251541138,1.2388614416122437,0.10939556360244751,26.15068817138672,0.09215544560714939,0.29768927807831286,1.0958405654901429,0.15622297342671812
task04-init09,nominal,4,9,pre,17,27,0.823725700378418,1.270266056060791,0.10741226375102997,26.49757957458496,0.2857397513885077,0.4177883683107024,0.9999823113858995,0.21606560535636746
task04-init09,nominal,4,9,pre,18,28,0.7943164110183716,1.3030956983566284,0.10547054558992386,26.590423583984375,0.09128124859573473,0.543337120989856,0.9061338130092678,0.23208223139592044
task04-init09,nominal,4,9,pre,19,29,0.8559184074401855,1.504638433456421,0.1033652126789093,26.844196319580078,0.49860261724824156,1.3140868835156674,0.8043773705763118,0.2758608556858833
task04-init09,nominal,4,9,pre,20,30,0.9167331457138062,1.5410774946212769,0.10089147835969925,26.88361930847168,0.9007185204121103,1.4534389555492735,0.6848150901739108,0.28266176049948155
task04-init09,nominal,4,9,pre,21,31,0.9600691795349121,1.5421240329742432,0.09795405715703964,26.512371063232422,1.1872626851030705,1.4574411796265816,0.5428415666774598,0.21861730194688728
task04-init09,nominal,4,9,pre,22,32,0.8893606066703796,1.3490159511566162,0.09416656196117401,25.79364013671875,0.719727307232621,0.7189476381498578,0.3597816644421054,0.09462820940880082
task04-init09,nominal,4,9,pre,23,33,0.8101868629455566,1.254327654838562,0.08980654180049896,24.791231155395508,0.19621898723411635,0.35683594077223757,0.1490500798242317,0.07829850817266702
task04-init09,nominal,4,9,pre,24,34,0.7437524795532227,1.111107349395752,0.08529872447252274,23.507266998291016,0.24305482758933544,0.1908742823437814,0.06882494223650648,0.2997966305131515
task04-init09,nominal,4,9,pre,25,35,0.7112374305725098,1.0425671339035034,0.08111034333705902,21.759824752807617,0.4580490651452046,0.45298918709567637,0.27126074783682363,0.6012498869232626
task04-init09,nominal,4,9,pre,26,36,0.6590964198112488,0.9787015914916992,0.07759205251932144,19.651844024658203,0.8028130192348685,0.6972269742980141,0.44130927326693625,0.9649000485196536
task04-init09,nominal,4,9,pre,27,37,0.6287922263145447,0.9272956848144531,0.07406404614448547,17.24134063720703,1.0031887584636205,0.8938160021500642,0.6118273778887359,1.3807387393908037
task04-init09,nominal,4,9,pre,28,38,0.6473399996757507,0.7227981090545654,0.07015131413936615,15.002176284790039,0.8805481807263107,1.6758658134518454,0.8009403143519024,1.7670195377509308
