rollout_id,benchmark_task_id,episode_index,success,failure,start_index,h1_raw_mse,h10_raw_mse,h10_correct_zero_disagreement,h10_correct_no_action_disagreement,h10_action_advantage_vs_zero,h10_persistence_raw_mse
pretrained-h10-task04-init00,4,0,True,False,70,0.10865573585033417,0.8107684850692749,0.05939842388033867,0.08520936965942383,0.1441245675086975,1.0304291248321533
pretrained-h10-task04-init00,4,0,True,False,71,0.12670159339904785,0.7953163981437683,0.05653640627861023,0.08583386242389679,0.1290927529335022,1.009125828742981
pretrained-h10-task04-init00,4,0,True,False,72,0.12475287914276123,0.8849366903305054,0.06568305194377899,0.07676976174116135,0.12484097480773926,1.0602118968963623
pretrained-h10-task04-init00,4,0,True,False,73,0.17043352127075195,0.8220696449279785,0.04967018961906433,0.07502708584070206,0.09047627449035645,1.0453767776489258
pretrained-h10-task04-init00,4,0,True,False,74,0.160822331905365,0.7791861891746521,0.0601358562707901,0.09225636720657349,0.0858314037322998,0.9346045851707458
pretrained-h10-task04-init00,4,0,True,False,75,0.1606515645980835,0.7762779593467712,0.0591314360499382,0.1835516393184662,0.0038347840309143066,0.8593594431877136
pretrained-h10-task04-init00,4,0,True,False,76,0.17251214385032654,0.7907462120056152,0.07436421513557434,0.21377770602703094,-0.06671655178070068,0.8052241802215576
pretrained-h10-task04-init00,4,0,True,False,77,0.17150843143463135,0.8034733533859253,0.0524371936917305,0.1468057781457901,0.0001926422119140625,0.7175080180168152
pretrained-h10-task04-init00,4,0,True,False,78,0.14363864064216614,0.7755140662193298,0.03874604403972626,0.16915951669216156,-0.03258281946182251,0.810276210308075
pretrained-h10-task04-init00,4,0,True,False,79,0.1278386265039444,0.734102725982666,0.03336388245224953,0.15216991305351257,-0.008254408836364746,0.7431382536888123
pretrained-h10-task04-init01,4,1,False,True,0,0.07276838272809982,0.6464518308639526,0.09709370136260986,0.10783883929252625,0.03650343418121338,0.6360527276992798
pretrained-h10-task04-init01,4,1,False,True,1,0.06610804796218872,0.6974867582321167,0.10941338539123535,0.11253254860639572,0.0033870935440063477,0.6742555499076843
pretrained-h10-task04-init01,4,1,False,True,2,0.08306024223566055,0.6955776214599609,0.1186799630522728,0.1264840066432953,0.032053470611572266,0.739814281463623
pretrained-h10-task04-init01,4,1,False,True,3,0.11618249118328094,0.7404007911682129,0.13893209397792816,0.18121348321437836,0.0836338996887207,0.7717970609664917
pretrained-h10-task04-init01,4,1,False,True,4,0.12110087275505066,0.8442255854606628,0.1384650617837906,0.14020928740501404,0.04170113801956177,0.9190378189086914
pretrained-h10-task04-init01,4,1,False,True,5,0.1283901482820511,0.9719215631484985,0.11842148751020432,0.13788573443889618,0.07338464260101318,1.1695587635040283
pretrained-h10-task04-init01,4,1,False,True,6,0.1676364243030548,0.8840093612670898,0.172604501247406,0.1606753021478653,0.18518280982971191,1.3328030109405518
pretrained-h10-task04-init01,4,1,False,True,7,0.17037200927734375,0.9469215869903564,0.1465892493724823,0.14300787448883057,0.2273317575454712,1.632132887840271
pretrained-h10-task04-init01,4,1,False,True,8,0.15507438778877258,0.8200015425682068,0.14787106215953827,0.13308942317962646,0.19661742448806763,1.5740482807159424
pretrained-h10-task04-init01,4,1,False,True,9,0.20735573768615723,0.7261347770690918,0.10536763072013855,0.12045057862997055,0.15791815519332886,1.5669044256210327
pretrained-h10-task04-init01,4,1,False,True,10,0.17452991008758545,0.7288777232170105,0.10315030813217163,0.13281169533729553,0.1364297866821289,1.4124854803085327
pretrained-h10-task04-init01,4,1,False,True,11,0.15308378636837006,0.7260233759880066,0.09750469028949738,0.1393067091703415,0.1134074330329895,1.3163042068481445
pretrained-h10-task04-init01,4,1,False,True,12,0.1672968864440918,0.6607847213745117,0.09025470912456512,0.1067836731672287,0.13831007480621338,1.1915233135223389
pretrained-h10-task04-init01,4,1,False,True,13,0.16287517547607422,0.758086085319519,0.13905774056911469,0.13151757419109344,0.14479994773864746,1.1386451721191406
pretrained-h10-task04-init01,4,1,False,True,14,0.16213954985141754,0.805029571056366,0.1108519658446312,0.2265087068080902,0.11874467134475708,1.1722739934921265
pretrained-h10-task04-init01,4,1,False,True,15,0.15396814048290253,0.7935609817504883,0.09288869798183441,0.15579593181610107,0.11231058835983276,1.2675278186798096
pretrained-h10-task04-init01,4,1,False,True,16,0.1572917103767395,0.7357704043388367,0.11029303073883057,0.17055641114711761,0.13855725526809692,1.163316249847412
pretrained-h10-task04-init01,4,1,False,True,17,0.1446983963251114,0.8219580054283142,0.07741368561983109,0.1629117727279663,0.11103147268295288,1.287858247756958
pretrained-h10-task04-init01,4,1,False,True,18,0.1613854467868805,0.7712159156799316,0.07271216809749603,0.15643326938152313,0.11713361740112305,1.3061814308166504
pretrained-h10-task04-init01,4,1,False,True,19,0.13891629874706268,0.871986985206604,0.04802010580897331,0.1486155390739441,0.10843837261199951,1.2314252853393555
pretrained-h10-task04-init01,4,1,False,True,20,0.1433209925889969,0.8481063842773438,0.07542887330055237,0.180825874209404,0.1341608762741089,1.2742042541503906
pretrained-h10-task04-init01,4,1,False,True,21,0.17447063326835632,0.8168166875839233,0.07904095947742462,0.1738888919353485,0.12484478950500488,1.263526201248169
pretrained-h10-task04-init01,4,1,False,True,22,0.16049866378307343,0.8244764804840088,0.07501853257417679,0.13026490807533264,0.15657848119735718,1.3924787044525146
