rollout_id,pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,commanded_h10_raw_mse,executed_h10_raw_mse,no_action_h10_raw_mse,persistence_h10_raw_mse
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,62,72,0.8015226125717163,0.5874015092849731,0.7403518557548523,0.055788274854421616
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,63,73,0.7982206344604492,0.5944300889968872,0.7469552755355835,0.042133625596761703
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,64,74,0.8013965487480164,0.5955213904380798,0.7560939788818359,0.04810137674212456
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,65,75,0.8212207555770874,0.6105983257293701,0.7646507620811462,0.05430179461836815
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,66,76,0.8169420957565308,0.6022522449493408,0.768169641494751,0.032645199447870255
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,67,77,0.8020450472831726,0.5950927138328552,0.7575143575668335,0.027924809604883194
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,68,78,0.8063850402832031,0.5908831357955933,0.75299072265625,0.024373792111873627
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,69,79,0.8099050521850586,0.5838866233825684,0.7438077926635742,0.021786220371723175
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,70,80,0.8110018968582153,0.5825856924057007,0.7343541383743286,0.016628913581371307
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,71,81,0.7873592376708984,0.575424075126648,0.7199952602386475,0.016573268920183182
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,72,82,0.7767140865325928,0.5682874917984009,0.7172451019287109,0.014457765966653824
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,73,83,0.7608195543289185,0.5705312490463257,0.716282844543457,0.016268324106931686
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,74,84,0.7784603834152222,0.5771054029464722,0.7239336371421814,0.01628403179347515
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,75,85,0.7992672324180603,0.5979418158531189,0.748797595500946,0.016604166477918625
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,76,86,0.8128330111503601,0.6045176982879639,0.7565447688102722,0.01758830063045025
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,77,87,0.839614748954773,0.6217159628868103,0.7753517627716064,0.02034083753824234
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,78,88,0.8325120806694031,0.6167666912078857,0.7705730199813843,0.020807037129998207
task04-init05-persistent_motion_dropout,task04-init05,persistent_motion_dropout,4,5,post,79,89,0.8459760546684265,0.621374785900116,0.7756069898605347,0.01998008042573929
task04-init08-nominal,task04-init08,nominal,4,8,pre,10,20,0.8223594427108765,0.8223594427108765,0.8119900226593018,1.3177614212036133
task04-init08-nominal,task04-init08,nominal,4,8,pre,11,21,0.92889803647995,0.92889803647995,0.8618310689926147,1.2786297798156738
task04-init08-nominal,task04-init08,nominal,4,8,pre,12,22,0.855117678642273,0.855117678642273,0.808822512626648,1.2341874837875366
task04-init08-nominal,task04-init08,nominal,4,8,pre,13,23,0.8431763648986816,0.8431763648986816,0.8285557627677917,1.2302874326705933
task04-init08-nominal,task04-init08,nominal,4,8,pre,14,24,0.8410735130310059,0.8410735130310059,0.7690900564193726,1.2621517181396484
task04-init08-nominal,task04-init08,nominal,4,8,pre,15,25,0.9003356695175171,0.9003356695175171,0.7861146926879883,1.1884615421295166
task04-init08-nominal,task04-init08,nominal,4,8,pre,16,26,0.9384989738464355,0.9384989738464355,0.8544224500656128,1.1735622882843018
task04-init08-nominal,task04-init08,nominal,4,8,pre,17,27,0.9390257596969604,0.9390257596969604,0.8789496421813965,1.2586288452148438
task04-init08-nominal,task04-init08,nominal,4,8,pre,18,28,0.9923450946807861,0.9923450946807861,0.9590840339660645,1.2775709629058838
task04-init08-nominal,task04-init08,nominal,4,8,pre,19,29,0.8782039880752563,0.8782039880752563,0.8825641870498657,1.2767462730407715
task04-init08-nominal,task04-init08,nominal,4,8,pre,20,30,0.8475744128227234,0.8475744128227234,0.8588941097259521,1.371423602104187
task04-init08-nominal,task04-init08,nominal,4,8,pre,21,31,0.927865207195282,0.927865207195282,0.969704270362854,1.3977159261703491
task04-init08-nominal,task04-init08,nominal,4,8,pre,22,32,0.8584363460540771,0.8584363460540771,0.9137076735496521,1.3116189241409302
task04-init08-nominal,task04-init08,nominal,4,8,pre,23,33,0.8728944063186646,0.8728944063186646,0.9328652620315552,1.3505091667175293
task04-init08-nominal,task04-init08,nominal,4,8,pre,24,34,0.8881934881210327,0.8881934881210327,0.902498185634613,1.2699192762374878
task04-init08-nominal,task04-init08,nominal,4,8,pre,25,35,0.9071726202964783,0.9071726202964783,0.8957304954528809,1.2163532972335815
task04-init08-nominal,task04-init08,nominal,4,8,pre,26,36,0.8712559938430786,0.8712559938430786,0.8576454520225525,1.102250576019287
task04-init08-nominal,task04-init08,nominal,4,8,pre,27,37,0.8649381399154663,0.8649381399154663,0.8309897184371948,1.015251874923706
task04-init08-nominal,task04-init08,nominal,4,8,pre,28,38,0.7991613149642944,0.7991613149642944,0.7758945226669312,1.0012246370315552
task04-init08-nominal,task04-init08,nominal,4,8,pre,29,39,0.8787187933921814,0.8787187933921814,0.8675707578659058,1.02483069896698
task04-init08-nominal,task04-init08,nominal,4,8,pre,30,40,0.8003115057945251,0.8003115057945251,0.7916312217712402,0.9624942541122437
task04-init08-nominal,task04-init08,nominal,4,8,pre,31,41,0.8200795650482178,0.8200795650482178,0.8203336596488953,1.0860095024108887
task04-init08-nominal,task04-init08,nominal,4,8,pre,32,42,0.8107355833053589,0.8107355833053589,0.8389328718185425,1.173663854598999
task04-init08-nominal,task04-init08,nominal,4,8,pre,33,43,0.9424593448638916,0.9424593448638916,1.023844599723816,1.2525348663330078
task04-init08-nominal,task04-init08,nominal,4,8,pre,34,44,1.0456018447875977,1.0456018447875977,1.0834132432937622,1.3303627967834473
task04-init08-nominal,task04-init08,nominal,4,8,pre,35,45,1.0340335369110107,1.0340335369110107,1.0731589794158936,1.3013453483581543
task04-init08-nominal,task04-init08,nominal,4,8,pre,36,46,1.091296672821045,1.091296672821045,1.1482046842575073,1.3221455812454224
task04-init08-nominal,task04-init08,nominal,4,8,pre,37,47,1.0056204795837402,1.0056204795837402,1.0616602897644043,1.297916293144226
task04-init08-nominal,task04-init08,nominal,4,8,pre,38,48,1.0627641677856445,1.0627641677856445,1.0935049057006836,1.334847331047058
task04-init08-nominal,task04-init08,nominal,4,8,pre,39,49,1.006585955619812,1.006585955619812,1.0427820682525635,1.2951711416244507
task04-init08-nominal,task04-init08,nominal,4,8,post,50,60,1.0185751914978027,1.0185751914978027,1.0918431282043457,1.4017202854156494
task04-init08-nominal,task04-init08,nominal,4,8,post,51,61,0.980678915977478,0.980678915977478,0.9907638430595398,1.3213534355163574
task04-init08-nominal,task04-init08,nominal,4,8,post,52,62,0.9640673398971558,0.9640673398971558,0.9221868515014648,1.1971532106399536
task04-init08-nominal,task04-init08,nominal,4,8,post,53,63,0.9974629282951355,0.9974629282951355,0.9331335425376892,1.1285910606384277
task04-init08-nominal,task04-init08,nominal,4,8,post,54,64,0.918311357498169,0.918311357498169,0.9093884825706482,1.0849112272262573
task04-init08-nominal,task04-init08,nominal,4,8,post,55,65,0.8931010961532593,0.8931010961532593,0.9240033030509949,1.1292080879211426
task04-init08-nominal,task04-init08,nominal,4,8,post,56,66,0.8902566432952881,0.8902566432952881,0.9055160880088806,1.114094614982605
task04-init08-nominal,task04-init08,nominal,4,8,post,57,67,0.7876529097557068,0.7876529097557068,0.8144471645355225,1.1915098428726196
task04-init08-nominal,task04-init08,nominal,4,8,post,58,68,0.6851257085800171,0.6851257085800171,0.7395943403244019,1.150036334991455
task04-init08-nominal,task04-init08,nominal,4,8,post,59,69,0.6682237982749939,0.6682237982749939,0.7064263820648193,1.1513761281967163
task04-init08-nominal,task04-init08,nominal,4,8,post,60,70,0.6587224006652832,0.6587224006652832,0.678973913192749,1.1586713790893555
task04-init08-nominal,task04-init08,nominal,4,8,post,61,71,0.6876000165939331,0.6876000165939331,0.689111590385437,1.1106367111206055
task04-init08-nominal,task04-init08,nominal,4,8,post,62,72,0.668784499168396,0.668784499168396,0.6412426829338074,1.0274146795272827
task04-init08-nominal,task04-init08,nominal,4,8,post,63,73,0.8174759149551392,0.8174759149551392,0.7810403108596802,1.16458261013031
task04-init08-nominal,task04-init08,nominal,4,8,post,64,74,0.7615642547607422,0.7615642547607422,0.7540453672409058,1.0106008052825928
task04-init08-nominal,task04-init08,nominal,4,8,post,65,75,0.797683596611023,0.797683596611023,0.8115190267562866,0.9887928366661072
task04-init08-nominal,task04-init08,nominal,4,8,post,66,76,0.8282904624938965,0.8282904624938965,0.8296515941619873,1.036806344985962
task04-init08-nominal,task04-init08,nominal,4,8,post,67,77,0.7978555560112,0.7978555560112,0.8410531878471375,1.0031050443649292
task04-init08-nominal,task04-init08,nominal,4,8,post,68,78,0.951026439666748,0.951026439666748,0.9580885767936707,1.1110814809799194
task04-init08-nominal,task04-init08,nominal,4,8,post,69,79,0.8305572271347046,0.8305572271347046,0.8538860082626343,1.0720094442367554
task04-init08-nominal,task04-init08,nominal,4,8,post,70,80,0.8211946487426758,0.8211946487426758,0.8349205851554871,1.0027313232421875
task04-init08-nominal,task04-init08,nominal,4,8,post,71,81,0.8018060922622681,0.8018060922622681,0.7807862162590027,1.0102379322052002
task04-init08-nominal,task04-init08,nominal,4,8,post,72,82,0.742246150970459,0.742246150970459,0.7390742301940918,1.0249898433685303
task04-init08-nominal,task04-init08,nominal,4,8,post,73,83,0.721245288848877,0.721245288848877,0.7251337766647339,0.9258832335472107
task04-init08-nominal,task04-init08,nominal,4,8,post,74,84,0.7068292498588562,0.7068292498588562,0.6996001601219177,0.7911221385002136
task04-init08-nominal,task04-init08,nominal,4,8,post,75,85,0.7161860466003418,0.7161860466003418,0.6593758463859558,0.7492780685424805
task04-init08-nominal,task04-init08,nominal,4,8,post,76,86,0.6782414317131042,0.6782414317131042,0.6414862871170044,0.7255797386169434
task04-init08-nominal,task04-init08,nominal,4,8,post,77,87,0.652259111404419,0.652259111404419,0.6354746222496033,0.7156398296356201
task04-init08-nominal,task04-init08,nominal,4,8,post,78,88,0.7663472890853882,0.7663472890853882,0.700082540512085,0.6305961608886719
task04-init08-nominal,task04-init08,nominal,4,8,post,79,89,0.7585065364837646,0.7585065364837646,0.7538172602653503,0.7733985185623169
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,pre,10,20,0.8223594427108765,0.8223594427108765,0.8119900226593018,1.3177614212036133
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,pre,11,21,0.92889803647995,0.92889803647995,0.8618310689926147,1.2786297798156738
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,pre,12,22,0.855117678642273,0.855117678642273,0.808822512626648,1.2341874837875366
task04-init08-persistent_motion_dropout,task04-init08,persistent_motion_dropout,4,8,pre,13,23,0.8431763648986816,0.8431763648986816,0.8285557627677917,1.2302874326705933
